test_name,unit,reference_range,count
Средний объем эритроцита,фл,81.30-100.12,2
Средний объем эритроцита,фл,80-100,2
Средний объём эритроцита,фл,80.00-99.00,2
Средняя концентрация гемоглобина в эритроцитах,г/л,320.00-370.00,2
Т3 свободный,пмоль/л,"2,42 - 6,01",2
Т4 свободный,пмоль/л,"9,00 - 19,04",2
ТТГ,мкМЕ/мл,0.35-4.94,2
Тиреотропный гормон (ТТГ),мкМЕ/мл,"0,40 - 4,00",2
Триглицериды,ммоль/л,,2
Тромбокрит,%,0.10-0.40,2
Тромбоцитокрит,%,0.18-0.39,2
Тромбоциты,10^9/л,158.1-387.1,2
Тромбоциты,х10^9/л,157.00-402.00,2
Уробилиноген,мкмоль/л,отрицательно,2
Холестерин-ЛПВП,ммоль/л,,2
Холестерин-ЛПНП,ммоль/л,,2
Холестерин-ЛПНП (липопротеины низкой плотности),ммоль/л,менее 3 ммоль/л,2
Цилиндры гиалиновые,п/зр.,0-1,2
Цилиндры патологические,в 1 мкл,0,2
Ширина распределения тромбоцитов по объему,фл,14.50-18.50,2
Ширина распределения эритроцитов по объему,%,11-16,2
Ширина распределения эритроцитов по объему,фл,37.00-54.00,2
Эозинофилы,%,1-5,2
Эозинофилы,х10^9/л,0.000-0.500,2
Эпителий переходный,кл/мкл,0,2
Эпителий плоский,п/зр.,0-5,2
Эпителий почечный,кл/мкл,0,2
Эритроциты,10^12/л,3.83-4.86,2
Эритроциты,кл/мкл,0.0-13.1,2
Эритроциты,млн/мкл,4.3 - 5.7,2
Эритроциты,млн/мкл,3.8 - 5.1,2
Эритроциты,п/зр.,0-2,2
Эритроциты,х10^12/л,4.30-5.70,2
(BAS#) Базофилы,10*9/л,0.01-0.08,1
(BAS%) Базофилы,%,0.00-1.00,1
(EOS#) Эозинофилы,10*9/л,0.04-0.40,1
(EOS%) Эозинофилы,%,1.00-5.00,1
(HCT) Гематокрит,%,39.0-49.0,1
(HGB) Гемоглобин,г/л,132-173,1
(LYM#) Лимфоциты,10*9/л,1.32-3.57,1
(LYM%) Лимфоциты,%,19-37,1
(MCH) Среднее содержание гемоглобина в эритроците,пг,27.0-34.0,1
(MCHC)Ср. концентрация гемоглобина в эритроците,г/л,319.0-356.0,1
(MCV) Ср.объем эритроцита,фл,80.0-99.0,1
(MONO#) Моноциты,10*9/л,0.30-1.00,1
(MONO%) Моноциты,%,5.00-12.00,1
(MPV) Средний объем тромбоцитов,фл,8.8-12.2,1
(NEU#) Нейтрофилы,10*9/л,1.78-5.38,1
(NEU%) Нейтрофилы,%,47.00-72.00,1
(P-LCR) Процент крупных тромбоцитов,%,13.00-43.00,1
(PCT) Общий объем тромбоцитов в крови (тромбоцитокрит),%,0.17-0.32,1
(PDW) Ширина распределения тромбоцитов по объему,фл,9.7-16.7,1
(PLT) Тромбоциты,10*9/л,150-400,1
(RBC) Эритроциты,10*12/л,4.30-5.70,1
(RDW-CV)Ширина распределения эритроцитов,%,11.6-14.4,1
(RDW-SD)Ширина распределения эритроцитов,фл,37.0-54.0,1
(WBC) Лейкоциты,10*9/л,4.50-11.00,1
Citrobacter spp,КОЕ/г фекалий,<10^5,1
E.coli гемолитические,КОЕ/г,0,1
E.coli гемолитические,КОЕ/г фекалий,0,1
E.coli лактозонегативные,КОЕ/г,10^3-10^5,1
E.coli лактозонегативные,КОЕ/г фекалий,10 в 3 степени - 10 в 5 степени,1
E.coli типичные,КОЕ/г,10^7-10^8,1
E.coli типичные,КОЕ/г фекалий,10 в 7 степени -10 в 8 степени,1
Enterobacter spp,КОЕ/г фекалий,<10^5,1
HBsAg,,не обнаружено,1
Klebsiella spp,КОЕ/г фекалий,<10^5,1
MCHC,г/дл,32 - 37,1
MCHC,г/дл,32 - 36,1
Neisseria gonorrhoeae,,не обнаружено,1
Proteus spp,КОЕ/г фекалий,<10^5,1
Pseudomonas aeruginosa,КОЕ/г фекалий,<10^4,1
Rh-принадлежность,,,1
Staphylococcus aureus,КОЕ/г,0,1
Staphylococcus aureus,КОЕ/г фекалий,10*2,1
Staphylococcus aureus,КОЕ/мл,,1
T3 свободный,пмоль/л,3-5.6,1
anti-HCV суммарные,,не обнаружено,1
anti-HIV 1/2,,не обнаружено,1
anti-Treponema pallidum,,не обнаружено,1
"АТ к внутр.фактору Кастла, IgG",отн.ед/мл,<6,1
АТ-ТГ,МЕ/мл,<4.11,1
АТ-ТПО,МЕ/мл,< 5.6,1
АЧТВ,сек,25.1-36.5,1
АЧТВ (ratio),,0.75-1.20,1
Абсолютное количество базофилов,10^9/л,0-0.2,1
Абсолютное количество лимфоцитов,10^9/л,1-3.5,1
Абсолютное количество моноцитов,10^9/л,0.1-0.8,1
Абсолютное количество нейтрофилов,10^9/л,1.8-7.7,1
Абсолютное количество нормобластов,10*9/л,0.00-0.03,1
Абсолютное количество нормобластов,10^9/л,0.00-0.03,1
Абсолютное количество эозинофилов,10^9/л,0.02-0.4,1
АлАТ,Ед/л,< 31,1
Аланинаминотрансфераза,Ед/л,<50.0,1
Аланинаминотрансфераза,Ед/л,0-45,1
Альфа-амилаза панкреатическая,Ед/л,,1
Амилоидные тельца,,нет 0,1
Амилоидные тельца,п/зр,не обнаружено,1
Антистрептолизин О (АСЛО),МЕ/мл,0-200,1
Антитела IgA к глиадину,Ед/мл,0-25.0,1
Антитела IgA к тканевой трансглутаминазе,Ед/мл,<20,1
Антитела IgG к глиадину,Ед/мл,0-25.0,1
Антитела IgG к тканевой трансглутаминазе,,<1.0,1
Антитела IgM к возбудителю коклюша,КП,<1.0,1
Антитела к Chlamydia pneumonia IgМ,КП,<0.9,1
Антитела к Mycoplasma pneumonia IgM,КП,>1.1,1
"Антитела к париетальным клеткам желудка (PCA), IgG",RU/ml,<40,1
Антитела к тиреоидной пероксидазе,МЕ/мл,0-5.61,1
Антитела к эндомизию IgA,титр,,1
АсАТ,Ед/л,< 31,1
Аспартатаминотрансфераза,Ед/л,0-40,1
Аспартатаминотрансфераза,Ед/л,<50.0,1
Базофилы,%,0-1,1
Базофилы,10^9/л,0-0.065,1
Бактерии,п/зр.,,1
Бактерии,п/зр.,не обнаружены,1
Билирубин,мкмоль/л,,1
Билирубин общий,мкмоль/л,1.7-20.4,1
Бифидобактерии,КОЕ/г,10^9-10^10,1
Бифидобактерии,КОЕ/г фекалий,10 в 9 степени -10 в 10 степени,1
Витамин 25(ОН) D,нг/мл,30-100,1
Витамин B12,пг/мл,191 - 663,1
"Витамин D, 25-гидрокси (кальциферол), ИХЛ",нг/мл,Менее 20 нг/мл - дефицит; 21-30 нг/мл - недостаточность; более 30 нг/мл - адекватные уровни; более 150 нг/мл - токсичность,1
"Витамин D, 25-гидрокси (кальциферол), ИХЛ",нг/мл,21-30 нг/мл,1
ГСПГ,нмоль/л,16.2 - 68.5,1
Гамма-глутамилтрансфераза,МЕ/л,0.0-38.0,1
Гамма-глутамилтрансфераза,МЕ/л,0.0-55.0,1
Гематокрит,%,34.9 - 45.6,1
Гематокрит,%,37-50,1
Гематокрит,%,40-50,1
Гемоглобин,г/л,112 - 153,1
Гемоглобин,г/л,130-160,1
Гемоглобин общий,г/л,130-170,1
"Глобулин, связывающий половые гормоны (ГСПГ)",нмоль/л,11.5-54.5,1
Глюкоза,ммоль/л,не обнаружена,1
Глюкоза,ммоль/л,<0.10,1
Глюкоза (венозной крови),ммоль/л,4.10-5.90,1
Грибы рода Candida,КОЕ/г фекалий,<10^4,1
Группа крови,,,1
Диплококки,п/зр,не обнаружено,1
Дрожжевые клетки,,не обнаружено,1
Другие неферментирующие бактерии,КОЕ/г фекалий,<10^4,1
Другие стафилококки,КОЕ/г фекалий,<10^4,1
Другие условно-патогенные грибы,КОЕ/г фекалий,<10^4,1
Другие энтеробактерии,КОЕ/г фекалий,<10^5,1
Железо,мкмоль/л,"11,6-31,3",1
Железо,мкмоль/л,12.5-32.2,1
ИСТ,%,24.5 - 113.3,1
Иммуноглобулин IgE общий,МЕ/мл,0.0-87.0,1
Индекс атерогенности,%,1.0-2.2,1
Калий,ммоль/л,3.50-5.10,1
Кальпротектин,,<80,1
Кетоновые тела,ммоль/л,,1
Клостридии,КОЕ/г фекалий,<10^5,1
Количество лейкоцитов,10^9/л,4-9,1
Количество тромбоцитов,10^9/л,160-370,1
Количество эритроцитов,10^12/л,4-6,1
Контроль взятия материала,lg,>=4.69,1
Креатинин,мкмоль/л,45-84,1
Креатинин,мкмоль/л,58-96,1
Креатинин,мкмоль/л,64 - 104,1
Креатинкиназа (КФК),МЕ/л,0-171,1
Крупные незрелые клетки,10^9/л,0.01-0.3,1
ЛГ,мМЕд/мл,0.57 - 12.07,1
ЛПВП,мМоль/л,>1.00,1
ЛПНП,мМоль/л,<3.30,1
ЛПОНП,мМоль/л,0.26-1.04,1
Лактатдегидрогеназа,Ед/л,"<248,0",1
Лактобактерии,КОЕ/г,10^7-10^8,1
Лактобактерии,КОЕ/г фекалий,10 в 7 степени -10 в 8 степени,1
Латентная железосвязывающая способность,мкмоль/л,24.2 - 70.1,1
Лейкоциты,,0-5 в п/з 0-1,1
Лейкоциты,10^9/л,4-9.5,1
Лейкоциты,п/зр,"1 - 2, до 10",1
Лецитиновые зерна,,значительно умеренно,1
Лецитиновые зерна,п/зр,в большом количестве,1
Лимфоциты,10^9/л,1.2-3,1
Лимфоциты %,%,21.9 - 50.3,1
Липопротеин (а),мг/дл,,1
Лютеинизирующий гормон,мМЕ/мл,0.57-12.07,1
МНО/INR,,0.80-1.20,1
МСHС,г/дл,32 - 36,1
МСHС,г/дл,32 - 37,1
Магний,ммоль/л,0.73-1.06,1
Магний,ммоль/л,0.8-1.0,1
Макрофаги,,Единичные в препарате 0,1
Макрофаги,п/зр,не обнаружено,1
Мицелий грибов,,не обнаружено,1
Моноциты,10^9/л,0.09-0.6,1
Моноциты %,%,4.2 - 12.5,1
Мочевая кислота,мкмоль/л,208.3-428.4,1
Мочевая кислота,мкмоль/л,"208,3-428,4",1
Натрий,ммоль/л,136.0-145.0,1
Нейтрофилы сегментоядерные,x10*9/л,1.5 - 6.8,1
Нейтрофилы сегментоядерные %,%,38.85 - 74.57,1
Нити мицелия,п/зр.,,1
Нитриты,,,1
Нитриты,,отрицательно,1
Нормобласты,%,0.0-0.5,1
Нормобласты,10*9/л,0.00-0.03,1
ОЖСС,мкмоль/л,45.0 - 63.0,1
Общий белок,г/л,64-83,1
Общий объем тромбоцитов в крови,%,0.12-0.35,1
Определение антигена Coronavirus (SARS-CoV-2),,,1
Относительное количество базофилов,%,0-1.5,1
Относительное количество лимфоцитов,%,19-40,1
Относительное количество моноцитов,%,2-11,1
Относительное количество нейтрофилов,%,47-72,1
Относительное количество нормобластов,%,0.0-0.5,1
Относительное количество нормобластов,количество/100 клеток,0.00-0.50,1
Относительное количество эозинофилов,%,0.5-5.5,1
Палочкоядерные нейтрофилы,%,0.1-6,1
Палочкоядерные нейтрофилы,%,1 - 6,1
Посев мочи на флору,,рост микроорганизмов не обнаружен,1
Пролактин,мкг/л,3.00-14.70,1
Протромбин по Квику,%,70-120,1
Протромбиновое время,сек,"9,4-12,5",1
РНК вируса SARS CoV-2,,,1
Реакция на кровь (гемоглобин),,,1
Реакция на кровь (гемоглобин),,отрицательная,1
Ревматоидный фактор,МЕ/мл,0.00-14.00,1
СОЭ,мм/ч,2-15,1
Свободный тестостерон,пг/мл,12.3 - 46.6,1
Свободный тироксин (Т4),нг/дл,0.70-1.48,1
Сегментоядерные нейтрофилы,%,47 - 72,1
Сегментоядерные нейтрофилы,%,47-72,1
Сегментоядерные нейтрофилы,10^9/л,2-5.5,1
Скорость оседания эритроцитов,мм/ч,2-15,1
Слизь,,незначительно нет,1
Слизь,п/зр.,,1
Слизь,п/зр.,небольшое количество,1
Сперматозоиды,,нет нет,1
Сперматозоиды,п/зр,не обнаружено,1
Споры дрожжевых грибов,п/зр.,,1
Среднее содержание гемоглобина в 1 эритроците,пг,26-35,1
Среднее содержание гемоглобина в эритроцитах,г/дл,32-36,1
Среднее содержание гемоглобина в эритроците,пг,26-34,1
Средний объем тромбоцита,фл,6-11,1
Средний объем тромбоцитов в крови,фл,3.6-12,1
Средняя концентрация гемоглобина в эритроците,г/л,300-380,1
Сывороточное железо,мкмоль/л,5.8 - 34.5,1
Т3 свободный,пг/мл,2.38 - 4.37,1
Т3 свободный,пг/мл,1.58-3.91,1
Т4 свободный,нг/дл,0.80 - 2.10,1
Т4 свободный,пмоль/л,9-19.05,1
ТТГ,мЕд/л,0.4-4,1
ТТГ,мЕд/л,0.4 - 4,1
Тестостерон,нмоль/л,8.9 - 42,1
Тестостерон,нмоль/л,5.92-27.35,1
Тиреотропный гормон: ТТГ,мМЕ/л,0.38-5.33,1
Тиреотропный гормон: ТТГ,мМЕ/л,0.30-4.20,1
Тироксин свободный,пмоль/л,10.60-22.70,1
Тироксин свободный (Т4 св.),пмоль/л,10.60-22.70,1
Тироксин свободный (св.Т4),пмоль/л,10.60-22.70,1
Тироксин свободный: св.Т4,пмоль/л,7.86-16.10,1
Триглицериды,ммоль/л,"менее 1,7 ммоль/л",1
Триглицериды,ммоль/л,<1.7,1
Триглицериды общие,мМоль/л,0.10-2.30,1
Трийодтиронин свободный,пмоль/л,3.50-6.50,1
Трийодтиронин свободный (Т3 св.),пмоль/л,3.00-6.50,1
Трийодтиронин свободный (Т3 св.),пмоль/л,3.50-6.50,1
"Тромбиновое время, ТВ",сек,15.8-24.9,1
Тромбокрит,%,0.17 - 0.38,1
Тромбоциты,10^9/л,130-400,1
Углеводы (по Бенедикту),%,0.00-0.01,1
Уробилиноген,мкмоль/л,0.0-16.0,1
Уробилиноген,мкмоль/л,0-16,1
Уробилиноген,мкмоль/л,0.1-17,1
ФСГ,мМЕд/мл,0.95 - 11.95,1
Ферритин,мкг/л,20.0-250.0,1
Ферритин,мкг/л,22-275,1
Ферритин,нг/мл,20.0-250.0,1
Ферритин,нг/мл,15.0-150,1
Ферритин,нг/мл,24-425,1
Ферритин,нг/мл,"20,0-250,0",1
Фибриноген,г/л,2.00-3.93,1
Флора,,смешанная-немного,1
